"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:11:17.7276909 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Read Data/List Directory, Read Attributes, Synchronize, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:11:17.7277185 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\","SUCCESS","CreationTime: 1/1/1980 12:00:00 AM, LastAccessTime: 1/1/1980 12:00:00 AM, LastWriteTime: 1/1/1980 12:00:00 AM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: D"
"9:11:17.7277318 PM","Explorer.EXE","9848","NotifyChangeDirectory","D:\","","Filter: FILE_NOTIFY_CHANGE_DIR_NAME"
"9:11:17.7279140 PM","Explorer.EXE","9848","QueryDeviceRelations","D:\","SUCCESS",""
"9:11:17.7279856 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Read Data/List Directory, Read Attributes, Synchronize, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:11:17.7280141 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\","SUCCESS","CreationTime: 1/1/1980 12:00:00 AM, LastAccessTime: 1/1/1980 12:00:00 AM, LastWriteTime: 1/1/1980 12:00:00 AM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: D"
"9:11:17.7280261 PM","Explorer.EXE","9848","NotifyChangeDirectory","D:\","","Filter: FILE_NOTIFY_CHANGE_FILE_NAME, FILE_NOTIFY_CHANGE_ATTRIBUTES, FILE_NOTIFY_CHANGE_LAST_WRITE"
"9:11:17.7281414 PM","Explorer.EXE","9848","QueryDeviceRelations","D:\","SUCCESS",""
"9:11:17.7484240 PM","Explorer.EXE","9848","CreateFile","D:\desktop.ini","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"9:11:17.7485026 PM","Explorer.EXE","9848","CreateFile","D:\desktop.ini","NAME NOT FOUND","Desired Access: Read Attributes, Read Control, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Disallow Exclusive, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a"
"9:11:17.7485925 PM","Explorer.EXE","9848","CreateFile","D:\desktop.ini","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"9:11:17.7486793 PM","Explorer.EXE","9848","CreateFile","D:\desktop.ini","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Sequential Access, Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"9:11:17.7487534 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Read Data/List Directory, Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:11:17.7487718 PM","Explorer.EXE","9848","QueryRemoteProtocolInformation","D:\","INVALID PARAMETER",""
"9:11:17.7487930 PM","Explorer.EXE","9848","QueryDirectory","D:\","SUCCESS","FileInformationClass: FileIdBothDirectoryInformation, 1: System Volume Information, 2: confidential-memo.pdf, 3: hr-record.pdf, 4: test-document.txt"
"9:11:17.7489038 PM","Explorer.EXE","9848","QueryDirectory","D:\","NO MORE FILES","FileInformationClass: FileIdBothDirectoryInformation"
"9:11:17.7489175 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:11:17.9263099 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:11:17.9263481 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\","SUCCESS","CreationTime: 1/1/1601 2:00:00 AM, LastAccessTime: 1/1/1601 2:00:00 AM, LastWriteTime: 1/1/1601 2:00:00 AM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: D"
"9:11:17.9263829 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:11:17.9267746 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
