"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:23:05.5024911 PM","Explorer.EXE","9848","CreateFile","D:\test-document.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:23:05.5025118 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\test-document.txt","SUCCESS","CreationTime: 9/12/2026 7:27:05 PM, LastAccessTime: 9/12/2026 12:00:00 AM, LastWriteTime: 5/23/2026 11:23:58 AM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: A"
"9:23:05.5025250 PM","Explorer.EXE","9848","CloseFile","D:\test-document.txt","SUCCESS",""
"9:23:05.5059064 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:23:05.5059418 PM","Explorer.EXE","9848","QueryNameInformationFile","D:\","SUCCESS","Name: \"
"9:23:05.5059645 PM","Explorer.EXE","9848","QueryInformationVolume","D:\","SUCCESS","VolumeCreationTime: 1/1/1601 2:00:00 AM, VolumeSerialNumber: 3CE5-D415, SupportsObjects: False, VolumeLabel: "
"9:23:05.5059810 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:23:05.5061095 PM","Explorer.EXE","9848","CreateFile","D:\test-document.txt","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:23:05.5061354 PM","Explorer.EXE","9848","QueryNetworkOpenInformationFile","D:\test-document.txt","SUCCESS","CreationTime: 9/12/2026 7:27:05 PM, LastAccessTime: 9/12/2026 12:00:00 AM, LastWriteTime: 5/23/2026 11:23:58 AM, ChangeTime: 1/1/1601 2:00:00 AM, AllocationSize: 1/1/1601 2:00:00 AM, EndOfFile: 1/1/1601 2:00:00 AM, FileAttributes: A"
"9:23:05.5061597 PM","Explorer.EXE","9848","FileSystemControl","D:\test-document.txt","INVALID DEVICE REQUEST","Control: FSCTL_CREATE_OR_GET_OBJECT_ID"
"9:23:05.5061771 PM","Explorer.EXE","9848","CloseFile","D:\test-document.txt","SUCCESS",""
"9:23:05.5177882 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Read Data/List Directory, Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:23:05.5178508 PM","Explorer.EXE","9848","QueryRemoteProtocolInformation","D:\","INVALID PARAMETER",""
"9:23:05.5178700 PM","Explorer.EXE","9848","QueryDirectory","D:\test-document.txt","SUCCESS","FileInformationClass: FileIdBothDirectoryInformation, Filter: test-document.txt, 2: test-document.txt"
"9:23:05.5179521 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:23:05.5197514 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:23:05.5198001 PM","Explorer.EXE","9848","QueryNameInformationFile","D:\","SUCCESS","Name: \"
"9:23:05.5198252 PM","Explorer.EXE","9848","QueryInformationVolume","D:\","SUCCESS","VolumeCreationTime: 1/1/1601 2:00:00 AM, VolumeSerialNumber: 3CE5-D415, SupportsObjects: False, VolumeLabel: "
"9:23:05.5198488 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:23:05.5200296 PM","Explorer.EXE","9848","CreateFile","D:\test-document.txt","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:23:05.5200694 PM","Explorer.EXE","9848","QueryNetworkOpenInformationFile","D:\test-document.txt","SUCCESS","CreationTime: 9/12/2026 7:27:05 PM, LastAccessTime: 9/12/2026 12:00:00 AM, LastWriteTime: 5/23/2026 11:23:58 AM, ChangeTime: 1/1/1601 2:00:00 AM, AllocationSize: 1/1/1601 2:00:00 AM, EndOfFile: 1/1/1601 2:00:00 AM, FileAttributes: A"
"9:23:05.5200934 PM","Explorer.EXE","9848","FileSystemControl","D:\test-document.txt","INVALID DEVICE REQUEST","Control: FSCTL_CREATE_OR_GET_OBJECT_ID"
"9:23:05.5201111 PM","Explorer.EXE","9848","CloseFile","D:\test-document.txt","SUCCESS",""
"9:23:05.5249795 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:23:05.5250131 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\","SUCCESS","CreationTime: 1/1/1601 2:00:00 AM, LastAccessTime: 1/1/1601 2:00:00 AM, LastWriteTime: 1/1/1601 2:00:00 AM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: D"
"9:23:05.5250554 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:23:05.5253439 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:23:05.5253632 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\","SUCCESS","CreationTime: 1/1/1601 2:00:00 AM, LastAccessTime: 1/1/1601 2:00:00 AM, LastWriteTime: 1/1/1601 2:00:00 AM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: D"
"9:23:05.5253734 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:23:05.5280552 PM","Explorer.EXE","9848","CreateFile","D:\test-document.txt","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
